,uuid,source_id,document_id,genre,subgenre,feast_day,feast_time,initial_text,initial_folio,initial_line,ending_folio,ending_line,bibliographical_reference,cm_volume,editorial_comment,melody_number,melodyname_standardized,melodyname_diplomatic,editor,related_chant,liturgical_play_id,completeness,layer_of_addendum,condition_of_transmission,iiif_urls,volpiano
10,7c14f723-ff6d-4d23-9a4b-c419bb7bc238,Rou 222,Rou 222-32-12,Spiele-Passus,,Feria VI in Parasceve,Depositio crucis,Adoremus crucis signaculum,32r,12,32v,9,Lowe 292,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,,,,,g--h--k--kj---h--kj--kl--lm-ml--kl--l--l--lmnm--l--m--l---k--kj--h--j--k--hghg--g--g--gk--jl-mlm--kj--h--hgh-kk-lk-kg---g--g--g--gkj--kl-mnmlk--ml--l--kln--n--m--n--m--l--m--k--m--ln-nl---l--j--lm--lml--klk--k--k--l--kh--jk--l--k--j--j--gh-kkl--k---k--klk-kj--hg--h--g--h--g--h--g--f--f--g--h--hk-kj---hg--hj--hjh--g--g--g--gkj--k--lm--l--l--l--lk-nnl--l--m--k--l---kj--h--j--k--l--kj--hk--gh--g--k--jlkl--h--f--h---k--ghg--fg--g--fd--e--f--g--g--hg--f--h--k--kh--klkh-jhg---g--g--g--jh--l--lkh--kj--jl-mk-hjk-lkk--g--hjk--kjh--jh--g--g--
11,57cf4395-f545-4932-b5e6-329a35464bb9,Rou 222,Rou 222-34-14,Spiele-Passus,Responsorium,Feria VI in Parasceve,Depositio crucis,Sepulto domino*,34r,14,34r,14,CAO 7640,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,Nur Incipit ohne Notation,,,,---
12,183392ab-3c19-460a-b0b1-ae5e154891e5,Rou 222,Rou 222-34-5,Spiele-Passus,Antiphon,Feria VI in Parasceve,Depositio crucis,Super omnia ligna,34r,5,34r,7,CAO 5061,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,,,,,-d--dc--de--ed--d--d--ef--de--dd--c--f--gh--h--g--fe--fg---ghf-efd--f--fe--g--ge--fe--d--e--dd--c--f--fe--g--gh---e--fe--dd--c--cd--defd--def-ghg--g--fe--fg--fe--dc--d--efe--d--d--
13,15e8fb0c-e274-4015-bd98-99e98f01b9a5,Rou 222,Rou 222-31-5,Spiele-Passus,,Feria VI in Parasceve,Depositio crucis,Agios o theos,31r,5,31r,22,CAO 8450,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,,,,,g--fe--fgf-fe--c--d--fgh-hg---g--fe--fgf-fe--c--d--fgh-hg--gh--g--hg-hjhgg---f--g--h--hk-kjh-jh--g--hjk-kjhhg--h--ghg--ed--fgh-hg---gf--fgf-fe--cd--fgh-hg--gf--fgf-fe---cd--fgh-hg--ghg--hg-hjhgg---f--g--h--hk-kjh--jh--g--hjk-kjhg--h--ghg--ed--fgh-hg--
14,c7a251e5-c4cf-4b78-856f-65d3b34ae15e,Rou 222,Rou 222-4v-7-c,Spiele-Passus,Sanctus,Epiphania,Messe,Sanctus ... dominus deus*,4v,7,4v,7,,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-4-4S,Nur Incipit ohne Notation,,,,-
15,20b2a830-28de-4647-bc34-83f799eb3cd9,Rou 222,Rou 222-31v-12,Spiele-Passus,,Feria VI in Parasceve,Depositio crucis,Quid ultra debui,31v,12,31v,18,CAO 8453,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,,,,,-c--dfe--d--efg--fe--e--e--e--e--e--dc--df--de---eed--cd--dedc--c--ef--ed--efg--ggf--ef--d--e--c--e--gh--h--gh--g--fe---de--dc--c--cd--ef--gf--gh--h--h--g--fe--d--fe--dd--c--d--c--df---ff--d--d--c--df--ff--d--d--e--d--e--fe--dd--c--cd--ffg---f--f--f--gh--h--g--fe--df--fe--f--gh--g--gf--efg--
16,20b8ade6-22e5-4a70-938b-8ce51288d37f,Rou 222,Rou 222-44-1,Spiele-Passus,Antiphon,Feria II post Pascha,Vesper,Qui sunt hi sermones,44r,1,44r,17,vgl. CAO 4500,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,,,,,-f--fg--gf--gh--h--g--g--g--g--hj--g--h--g--f---f--hk--k--kj--g--k--ghg--fg--g---f--g--f--g--h--k--l--k--kl--jk--h--g--ghg--gf--ef--gh---h--g--g--g--h--g--h--g--fg--f--hj--h--g--g---ll--kj--h--jk--lk--h--g--g--g--h--g---h--g--h--g--h--g--g--h--g--f--g--ghg--f--f--f--hk--k--kj--h---k--ghg--fe--fg--g--
17,ae571ae7-f643-4809-9fe9-46697724a8d2,Rou 222,Rou 222-43v-19,Spiele-Passus,Hymnus,Feria II post Pascha,Vesper,Iesu nostra redemptio*,43v,19,43v,20,"AH 51, 89",CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,Nur Incipit ohne Notation,,,,---------
18,b8d93085-44d7-45b5-b592-de086ae90e3d,Rou 222,Rou 222-44v-7,Spiele-Passus,Antiphon,Feria II post Pascha,Vesper,Mane nobiscum,44v,7,44v,8,CAO 3690,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,,,,,-g--j--k--lm--l--m--n--m--k--m--l--n--l--l---m--n--o--n--mlkjkj--h--g--g--
19,07410cfa-e5d9-43ed-9931-987fb32da028,Rou 222,Rou 222-31-26,Spiele-Passus,,Feria VI in Parasceve,Depositio crucis,Quia eduxi te,31r,26,31v,4,CAO 8452,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,,,,,-dedc--c--efg--gf-gf--ef--d--c--e--ghjh-ghg--fe--fe--fg--fe---fg--ff--e--e--de--de--dc--df--de--eed--e--g--gh--hhg--f--gf--ef--e---eed--dc--df--de--eed--ce--ghjh-ghg--e--fg--efgf-fe--fe--f--gh--g--gf--efg--
20,05a219aa-1a14-4ce1-b119-eec6b6876319,Rou 222,Rou 222-43v-8,Spiele-Passus,Antiphon,Feria II post Pascha,Vesper,Et coegerunt illum,43v,8,43v,12,CAO 2692,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,,,,,d--f--e--f--d--e--d--c--efe--d--d--e--f--gh--ddc---fh--gh--ef--g--f--fe--dc--d--fe--d--d------h--h--g--f--g--gfed--
21,c3c2fff1-0060-4cda-919f-6497a2c87fee,Rou 222,Rou 222-43v-13,Spiele-Passus,Psalmus,Feria II post Pascha,Vesper,In exitu*,43v,13,43v,14,,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,Nur Incipit ohne Notation,,,,-----
22,da45e1d6-0824-4d75-b7c6-3a88987515c8,Rou 222,Rou 222-31v-8,Spiele-Passus,,Feria VI in Parasceve,Depositio crucis,Agios o theos*,31v,8,31v,8,CAO 8450,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,Nur Incipit mit Notation,,,,-g--fe--fgf-fe--gf--fgf-fe--
23,0f578183-ede1-4a66-a02a-346da9c71741,Rou 222,Rou 222-4-4,Spiele-Passus,,Epiphania,Messe,Salve princeps saeculorum,4r,4,4,12,,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-4-4S,,,,,e-def--e--d--d--c--de--e--e---e--g--gh--gf--gg--e--e--f--g---d--dc--d--de--e--e-defe--e--d--d--c--de--e--e--
24,f55ee24a-083a-40ab-ac0e-4b7877989b82,Rou 222,Rou 222-32-7,Spiele-Passus,Antiphon,Feria VI in Parasceve,Depositio crucis,Crucem tuam adoramus,32r,7,32r,10,CAO 1953,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,,,,,-e--g--gh--h--h--h--h--g--hj--hg--h--e--gh--h--h---h--h--h--h--h--gh--g--gh--h--g--g--g--f--d--f--ef--g--fd---f--ef--g--fe--d--d--defed--def--d--dg--g--g--g--gf--g--ghg--e---e--g--gh--h--h--h--h--h--
25,7405b72c-359f-4a50-989b-6354510363bc,Rou 222,Rou 222-43v-4,Spiele-Passus,Alleluia,Feria II post Pascha,Vesper,Alleluia Nonne cor nostrum,43v,4,43v,7,,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,,,,,defe--dc-ddc--fg-hgfgf--d---fe-ddc-fg-hgf-gd-fe-ddc-fed-gfed-efe-ed--defe--dc-ddc--fg-hgf---gfg--dg--f--ffe--dc--c--cd--d--efed--ed--cd--d--dhj--h--g---kjg-hgf-gh-dh-hg-kjg-hgf-gh-dh-hgf--ed--efd--cd--dfd-dc--fghgfgf--e--
26,13099ada-b0ad-4d99-a874-6799fd747b5d,Rou 222,Rou 222-34-12,Spiele-Passus,Antiphon,Feria VI in Parasceve,Depositio crucis,In pace in idipsum*,34r,12,34r,12,CAO 3265,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,Nur Incipit ohne Notation,,,,-----
27,27ee485f-1588-4765-a80d-75b2e2d63956,Rou 222,Rou 222-43-19,Spiele-Passus,Alleluia,Feria II post Pascha,Vesper,Alleluia Redemptionem*,43r,19,43r,20,AMS 82,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,Nur Incipit ohne Notation,,,,---
28,6812d311-95af-4eb8-99dd-d0adfa3eb4f0,Rou 222,Rou 222-4-22,Spiele-Passus,Responsorium,Epiphania,Messe,Tria sunt munera,4r,22,4v,5,CAO 7777,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-4-4S,,,,,-dc--f--ghg--h--g--f--h--g---gkj-jhj--jh--f--f--ghg--h--g--h--fh--gh--fed--dfd-dc--fgfe--fgh--hg-hfgfe--de-fef--ed---d--fgh--g--gh--hf-hjg-ff-ded--d--fgf--fe--fgh--hg-hfg--fe-fgfg--fghg--dcd--dhj--h--h---h--g--h--g--h--g--hk--kjh-jh--gh-kjhj--jh--fgh--hj-jhj--hgg--f--ghg--h--g---h--f--h--gh--fed--dfd-dc--fe--fg--ghgfe-fgfg--gf--f--g--f--gf-fe--d---dgfefe--dc-def--ed--h--h--hg-hg-gf--g--g--g--gh--g--gh---g--g--g--g--g--hf--gh--gh--h--hjh--h--gf--gj--j--hjk--h--gh--g---g--g--hf--gh--gh--h--hjh--h--h--h--hg-hg--gf--fgh--hgfe-gh--gf--dcd--dhj--h--
29,05843a2a-0480-4dd8-b691-017c10829a04,Rou 222,Rou 222-43v-7,Spiele-Passus,Versikel,Feria II post Pascha,Vesper,Resurrexit dominus sicut,43v,7,43v,7,CAO 8185,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,,,,,f--f--f--f--f--f--e--
30,a6a118b0-5ab9-4371-b6d8-03c3fb8e7969,Rou 222,Rou 222-43-21,Spiele-Passus,Graduale,Feria II post Pascha,Vesper,Haec dies,43r,21,43v,4,AMS 81,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,,,,,-hgjhg-hf-hk--kk-khgh----h--k--kl--l--lk-lm-nlk-lmlm--mnmk-lk-ml-nml---nml--klmlmkhk-lmkh-gh-kk-l-ooml--ml--l--l-kk-mlk-mlk-lh--h---kkl--k--k--k--kj-klmkjk-kj-lklkh--h--hkhg-hk-kh-kkjh-kg-gf---f--fgh--h--hkjhk--g--h--kh-kl--lmkj-kl--
31,54908282-9921-4ebf-abba-1b1e5bbae044,Rou 222,Rou 222-34-10,Spiele-Passus,Responsorium,Feria VI in Parasceve,Depositio crucis,Sicut ovis ad occisionem*,34r,10,34r,10,CAO 7661,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,Nur Incipit ohne Notation,,,,-----
32,8c60ae7a-453f-417d-b773-c341c56168a9,Rou 222,Rou 222-31v-26,Spiele-Passus,Antiphon,Feria VI in Parasceve,Depositio crucis,Ecce lignum crucis,31v,26,32r,6,CAO 2522,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,,,,,-f--f--defeed--dc--fg-hgh--gf--fg--f---fg-hj--h--ghgf--gf--f--ghgf-ghjhg--hg--hgf--hjk--g-ff-ded--ffe--g--ghgf--gf--fg--gf--gh--h--h--hg--gj--j----j--j--g--j--k--j---f--f--defed--dc--
33,2143f5c2-d16b-4e37-bb85-9240b4dbe648,Rou 222,Rou 222-4-16,Spiele-Passus,,Epiphania,Messe,Impleta sunt omnia,4r,16,4,18,,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-4-4S,,,,,-fe--de--d--c---d--de--e--g--gh--h--g--f--g--fe--e--e--de--d--c--d--c--d--f---fe--de--e--e--g--gh--hgf-gfe--e--e--f--g--d--d--c--d--f--fe--de--e--
34,a2fa4013-6f72-4d36-8bac-3525a85d62e4,Rou 222,Rou 222-31v-22,Spiele-Passus,,Feria VI in Parasceve,Depositio crucis,Agios o theos*,31v,22,31v,22,CAO 8450,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,Nur Incipit mit Notation,,,,-g--fe--fgf-fe--gf--fgf-fe--
35,d8cccf66-244d-4be6-933d-8dea33f3b6a8,Rou 222,Rou 222-33v-5,Spiele-Passus,Hymnus,Feria VI in Parasceve,Depositio crucis,Crux fidelis,33v,5,34r,2,"AH 50, 66 (Pange lingua)",CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-30v-23S,,,,,-d--e--gh--hg--h--k--kj--hg--gkj--kl--lm--hg--k--jh---h--h--hkj--g--gf--e--dc--df--ffef--d--dh--hhg--ed--ef--ed--d---h--hkj--g--gf--e--dc--df--ffef--d--dh--hhg--ed--f--e--d--d--e--gh--hg--h--k--kj--hg--gkj--kl--lm--hg--k---jh--h--e--e--gh--hg--------
36,dcbfb434-d31e-453d-99ab-fc500d83b673,Rou 222,Rou 222-44-17,Spiele-Passus,,Feria II post Pascha,Vesper,O stulti et tardi,44r,17,44v,4,,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,,,,,cd--fe--d--f--g--h--g--f---g--h--efed--ed--a--c--cd--d--d--d--f--dce--e--cd--ef--d--dhj---h--hg--f--g--gh--h--fe--fgfe--d--c--a--cd--d--dc--df-fg--f--gh--hgfec--d--efe---d--d--
37,ca354782-3ac2-4798-9c8b-e221381fdd56,Rou 222,Rou 222-44v-8,Spiele-Passus,,Feria II post Pascha,Vesper,Sol vergens,44v,8,44v,14,,CM V-1,,,,,elaine.stratton_hild@uni-wuerzburg.de,,Rou 222-43-19S,,,,,g--gl--l--kj--hg--kl--l---l--m--no--n--nm--l--kl--l--gh--hg--fg--g--f--hk--k--kj---h--kj--hg--kl--l--gh--hg--f--f--g--hk--kj--hg--h--g--d--e---fg--g--g--
38,9bb7796b-7adb-404f-bdf6-1d26afea00a4,Pa 903,Pa 903-153-12,Tropus,Communio-Tropus,Pascha,Messe,Laus honor … regi nostro,153,12,153v,3,Resurr com 10 A 11 B 12 C (CT III),II-3,,,,,david.catalunya@uni-wuerzburg.de,Pascha nostrum ... alleluia),,,,,,f--gh--hg---h--g--f--e--gh--dffd--d--d--d--dg--g--g--gh--f--e--d--ced-fgfd--f--gh--h--h--h--h--h--hg--fg---g--gfe--f--fh-gh---h--h--hg--k--h--g--fe--gh--hjjh--h--d--f--g--h--g--f--h--g--f--g--fe---d--f--fe-fdf--f--f--fhgf--f--h--h--gh--g--fe--g--gh--hf--gf--h--gh--f--h----k--k--k--kl--l---gh--hgf--gh--h--d--f--g--g--f--g--h--h--f--g--fe--d--d--f--fd-fefd---
39,e5c0618a-10bd-4497-a6ad-ce36ba839d8c,Pa 903,Pa 903-132v-12,Antiphon,Offertorium,Dedicatio ecclesiae,Messe,Domine deus,132v,12,133,8,AMS 100,II-3,,,,,andreas.pfisterer@uni-wuerzburg.de,,,,,,,ffg--f--f--fghgfg--gf--f--fd--fgf--gh--hk-hk--g--fe--df--fgf-fed--df-ddc--ff--ff--fe-fg--dc--ff---gfhg--f--fghgf--gf--f---fgj--h--h--hkh-hgf--gg--dfg--g--gh-ggf--fgfe--e--f--fd--fgf--fd--fgf--g--ghkjh--hjh--h--h--hg--ghg--f--fghhg---f--fghgh--g--ghg-ffded--ffe--fgh-ghg--fg--fhkgf-gfd-dc-fggf--f--hg-k-hk--fg--fg-fff-fgf-gh-ghg--fghgfg--gf----kk--klk-khk--f--h--kk-lkl------
40,065de886-9c68-4767-a90d-430e89a99111,Pa 903,Pa 903-78v-4,Antiphon,Introitus,Feria III post Pascha,Messe,Aqua sapientiae,78v,4,78v,6,AMS 82,II-3,,,,,andreas.pfisterer@uni-wuerzburg.de,,,,,,,gl--l--lml--klj--k--kml--l--k--ln--nnn--nonl--l--nl--nn--nonm--l--l--lnpo--n--nnn--n--nonm--l---ln--n--n--non--lj--ln--nmnl--k--klkk--h--kj--kl--l--lkk--klkh--h--k--k--ln--nmnl--lm--jkml--klkjk--g--hkj--k-hkjl-kkhg--ghg--g--gkj--kl--l---l--l--l--l--l--l--l--l--l--------l--lnm--l--k--kk-kj--hg--
41,28c2534f-5327-4fe0-a1f3-cf5a4c85ef58,Pa 903,Pa 903-12-1,Antiphon,Offertorium,Stephanus,Messe,Elegerunt apostoli,12,1,12,10,AMS 148bis,II-3,,,,,andreas.pfisterer@uni-wuerzburg.de,,,,,,,c--df---fgd-fd-edc-dfd-f-hjg--g--gh--hhg--fg--hg-ffgfed--f--efg--hg-ffgfed--dfge-de--cdc--cg--g-fh-fg-gk-jkl--ml-kklkjh---ggh--hg-fgfed--ef--h---gf--gg--ef--e--ff-hjgf-ghfdf-ffc--cd--df--fg--ghjgf-fgh-kklg--hgg-fh--hjhh--ghhgh--hg--c--df--f--fed--fghg--fgh--g--k--kjh--h-fh-jhh---ghhgh--hg--ghjh--g-ffg--gf-fed--dc--d-ffg-hjgf-fgh-kklg--hg-gf-hjhh--ghhgh--hg--hk--klkh-kkh-kjhg-hklkh-kkh-kjhg-jkll-jkl-hhgh-gg--fg--g--c--d--e--fg--ghjhghgf--gf----c--d--e--fg--ghjhghgf--gf----k--kjh--h--
42,b4c30bed-23c4-4531-bf95-37d76f2ab775,Pa 903,Pa 903-161v-2,Tropus,Introitus-Tropus,Apostoli,Messe,Nobile apostolici,161v,2,161v,4,Mihi autem intr 27 A 28 B 29 C [mel 1] D (CT X),II-3,,,,,david.catalunya@uni-wuerzburg.de,Mihi autem),,,,,,h--g--f--g--ghg--f--fe--dc--cd--de--dc--f--gh--hgf--g--fe--de--dc--f--gh--h--gf--gh--h--hg-hgf-fe--dedd--c---fghhg--fe--fgf--d--d--c--d--d--ff--d--dc--f--gh--hjkh--h--h--gf--ggf--d--ffg--gf--d--dfed--d--d--ced--d--d--c--d---dfedd--c--d--d--hg-hgf-ggh-hgf-gg--d--cd--ddc--e--fgf--d--d--e--fff---c--d--df--f--f--f--
43,27c69377-904b-4a48-a8ff-8d2a04cb4b43,Pa 903,Pa 903-101v-8,Antiphon,Introitus,Petrus et Paulus,Messe,Nunc scio vere,101v,8,101v,10,AMS 122,II-3,,,,,andreas.pfisterer@uni-wuerzburg.de,,,,,,,ff-fd-gfe--g--h--hkjk--k--k--k--kl-kk--h--hkk--hgh--h--hj--g-fgh--h---hj-gg--efe--e--e--efg--g--hjhg--g--gh--h--f--fgh-jgh--eg-fg--fe--f--ff-fdg--gh--f--h--h--h--kk--hjg--g--ghgf-gfef--d--fhg--ge--egfg--fe--g--hk--k--k--k--k------j--kkk--hg--h--jh--gh--g--hk--k--k--k--kkk--hg--h--j--gh----j--gh--
44,97fa39f4-fda4-4601-9d27-ef823b630d02,Pa 903,Pa 903-150-17,Tropus,Offertorium-Tropus,Innocentes,Messe,Infantum dic,150,17,150,19,Innoc off 11 A 13 B (CT I),II-3,,,,,david.catalunya@uni-wuerzburg.de,Anima nostra),,,,,,dedd--cd--d--cd--dhj--h--fh--g--h--fe--fgf--dc--cd--d--ac--cd--d---d--dd--cd--f--f--e--hgf---g--fe--fg--fe--d--cd--d--d--df--fff---
45,53be887f-4dc4-4e44-ae2a-263d23d4fdb8,Pa 903,Pa 903-152-7,Tropus,Communio-Tropus,Purificatio Mariae,Messe,Felix qui meruit,152,7,152,9,Resp 4 A B (CT IX),II-3,,,,,david.catalunya@uni-wuerzburg.de,Responsum),,,,,,fghhg--g--hk--kkj--hg--hjh--g--h--gf--hk-lkj--hg--hjh--g--gfd-ffg--d--fg--g--f--hg--gk---k--k--kkj--gh--kj--hg--ghd-ffg--
